Provinsi,Kabupaten,Nama SKPD,Jenis Barang,Kode Barang,No,Tanggal Beli,Nama Barang,Satuan,Jumlah,Harga,Total Harga
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,517,1.,2017-08-02,ACT (Dihidroartemisin + Piperaquin)/DHP/Darplex,Tablet,534,3498,1867932
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,539,2.,2017-01-03,Albendazol Suspensi 200 mg/5 ml,Botol,9,4234,38106
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,539,3.,2017-01-03,Albendazol Suspensi 200 mg/5 ml,Botol,11,4234,46574
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,539,4.,2017-10-03,Albendazol Suspensi 200 mg/5 ml,Botol,150,4426,663900
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,562,5.,2017-01-03,Albendazol tablet 400 mg,Tablet,37413,258,9652554
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,562,6.,2017-07-13,Albendazol tablet 400 mg,Tablet,116000,308,35728000
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,562,7.,2017-09-18,Albendazol tablet 400 mg,Tablet,1,28311,28311
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,562,8.,2017-09-18,Albendazol tablet 400 mg,Tablet,140199,271,37993929
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,562,9.,2017-10-02,Albendazol tablet 400 mg,Tablet,1500,451,676500
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,575,10.,2017-10-03,Allopurinol tab 100 mg,Tablet,24447,117,2860299
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,575,11.,2017-10-16,Allopurinol tab 100 mg,Tablet,10000,117,1170000
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,628,12.,2017-11-06,Ambroxol Syrup 15 mg/5 ml,Botol,103,4620,475860
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,628,13.,2017-11-30,Ambroxol Syrup 15 mg/5 ml,Botol,2000,3750,7500000
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,638,14.,2017-11-30,Ambroxol tab 30 mg,Tablet,42976,144,6188544
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,650,15.,2017-01-03,Aminofillin inj 24 mg/ml,ampul,42,4204,176568
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,650,16.,2017-01-03,Aminofillin inj 24 mg/ml,ampul,13,4204,54652
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,664,17.,2017-09-18,Aminofillin tab 200 mg,Tablet,1676,97,162572
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,664,18.,2017-11-06,Aminofillin tab 200 mg,Tablet,3000,97,291000
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,681,19.,2017-01-03,Amitriptilin tablet 25 mg,Tablet,5002,123,615246
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,681,20.,2017-01-03,Amitriptilin tablet 25 mg,Tablet,10000,165,1650000
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,681,21.,2017-11-30,Amitriptilin tablet 25 mg,Tablet,10000,195,1950000
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,475,22.,2017-10-16,Amlodipin 10 mg,Tablet,16805,107,1798135
