"SKPD","BLUD RUMAH SAKIT UMUM DAERAHANY"
"SUB SKPD","RSUD Apotek InapANY"
"Jenis Barang","Bahan Obat-Obatan,Bahan Habis Pakai Alat Medik / Bahan dan Alat Kesehatan Habis PakaiANY"

"Provinsi","Kabupaten","SKPD","Nama Sub Skpd","Jenis Barang","No","Kode Barang","Nama Barang","Satuan","Total Saldo Barang","Total Harga",
"Buku Persediaan Barang Habis Pakai SUB SKPD"
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","1.","3733","AMINEFRON","Tablet","300","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","2.","2522","APIALYS DROP 2","Botol","13","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","3.","2525","ASAM TRANEKSAMAT INJ 500 MG/5 ML","Ampul","310","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","4.","2531","ASPILET CHEWABLE","Tablet","400","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","5.","8187","Acyclovir 5% Cream","pcs","2","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","6.","575","Allopurinol tab 100 mg","Tablet","500","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","7.","590","Allopurinol tab 300 mg","Tablet","700","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","8.","628","Ambroxol Syrup 15 mg/5 ml","Botol","50","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","9.","638","Ambroxol tab 30 mg","Tablet","1200","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","10.","650","Aminofillin inj 24 mg/ml","ampul","74","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","11.","13329","Amiodarone IV Generik","Ampul","47","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","12.","475","Amlodipin 10 mg","Tablet","400","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","13.","699","Amlodipin 5 mg","Tablet","500","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","14.","797","Amoksisilin + Asam Klavulanat 625 mg/Co-amoxiclav","Kapsul","360","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","15.","825","Ampisilin serbuk injeksi 1.000 mg","Vial","110","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","16.","11240","Antalgin Inj 500 mg","Ampul","1200","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","17.","927","Antasida DOEN Tablet Kunyah komb. Aluminium Hidroksida 200 mg + Magnesium Hidroksida 200 mg","Tablet","100","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","18.","5055","Antihemoroid komb : bismut subgalat 150 mg + heksaklorofen 2,5 mg + lidokain 10 mg + Seng Oksida 120 mg","Suppo","28","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","19.","511","Asam Mefenamat 500 mg","Kapsul","700","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","20.","536","Asam Traneksamat 500 mg","Tablet","405","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","21.","556","Asiklovir 200 mg","Tablet","80","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","22.","565","Asiklovir 400 mg","Tablet","100","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","23.","3740","Asta plus","Kapsul","90","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","24.","3976","Atropin inj 0,25 mg/ml","Ampul","72","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","25.","2537","BAQUINOR ED","Botol","2","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","26.","2547","BETASON N CREAM","Tube","4","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","27.","2549","BIOCAL 95 TAB","Tablet","60","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","28.","3755","Batugin Elixir 120 Ml","Botol","19","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","29.","499","Bedak Salisil Serbuk 2 %","Bungkus","1","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","30.","525","Betahistin Mesilat 6 mg","Tablet","150","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","31.","535","Betametason Krim 0,1 % / Skizon krim 0,5mg/g","Tube","3","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","32.","560","Bisakodil suppositoria 10 mg (Dulcolax/Stolax)","Suppo","68","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","33.","2554","CANDESARTAN TAB 8 MG","Tablet","1530","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","34.","2560","CEFADROXIL","Kapsul","700","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","35.","2561","CEFIXIME 100MG","Kapsul","800","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","36.","2912","CEFIXIME 100MG SYR","Botol","48","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","37.","2565","CEFIXIME 200MG","Kapsul","500","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","38.","2571","CEFTAZIDIME","Vial","219","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","39.","2576","CENDO ASTHENOF 5ML","Botol","3","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","40.","2583","CENDO LYTEERS 15ML","Botol","2","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","41.","2585","CENDO MYDRIATIL 0,5% 5ML","Botol","3","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","42.","2590","CENDO P-PRED 5ML","Botol","3","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","43.","2598","CENDO TIMOL 0,5% 5ML","Botol","3","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","44.","2602","CENDO TOBROSON 0,6ML MINIDOSE","Botol","3","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","45.","2603","CENDO VASACON-A 15ML","Botol","2","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","46.","2604","CENDO VITROLENTA 5ML","Botol","3","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","47.","2605","CENDO XITROL 5ML","Botol","3","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","48.","2606","CENDO XITROL EO 3,5 GR","Botol","3","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","49.","2612","CITICOLINE 500MG","Tablet","390","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","50.","2620","COMBIVENT NEBU","ampul","60","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","51.","7903","Calcium Gluconas inj","Ampul","8","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","52.","8193","Candersartan 16mg tab (RSUD)","Tablet","1200","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","53.","8191","Cefadroxil 250mg SYR","Botol","62","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","54.","3890","Cefoperazone Sulbactam 1 gr","Vial","160","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","55.","3945","Cendo Efrisel 10% 5 ML","Botol","2","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","56.","12535","Cendo Mydriatil 1%","Botol","3","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","57.","507","Cetirizine 10 mg","Kapsul","330","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","58.","495","Cetirizine syrup 5 mg/5 ml","Botol","1","0",
