"SKPD","BLUD RUMAH SAKIT UMUM DAERAHANY"
"SUB SKPD","RSUD Ruang PerinatologiANY"
"Jenis Barang","Bahan Obat-Obatan,Bahan Habis Pakai Alat Medik / Bahan dan Alat Kesehatan Habis PakaiANY"

"Provinsi","Kabupaten","SKPD","Nama Sub Skpd","Jenis Barang","No","Kode Barang","Nama Barang","Satuan","Total Saldo Barang","Total Harga",
"Buku Persediaan Barang Habis Pakai SUB SKPD"
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Ruang Perinatologi","Bahan Obat-Obatan","1.","650","Aminofillin inj 24 mg/ml","ampul","2","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Ruang Perinatologi","Bahan Obat-Obatan","2.","825","Ampisilin serbuk injeksi 1.000 mg","Vial","5","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Ruang Perinatologi","Bahan Obat-Obatan","3.","3976","Atropin inj 0,25 mg/ml","Ampul","1","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Ruang Perinatologi","Bahan Obat-Obatan","4.","7903","Calcium Gluconas inj","Ampul","3","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Ruang Perinatologi","Bahan Obat-Obatan","5.","601","Deksametason inj 5 mg/ml","Ampul","3","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Ruang Perinatologi","Bahan Obat-Obatan","6.","502","Fenitoin Na injeksi 50 mg/ml","Ampul","4","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Ruang Perinatologi","Bahan Obat-Obatan","7.","599","Furosemid inj 10 mg/ml","ampul","2","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Ruang Perinatologi","Bahan Obat-Obatan","8.","3900","Gentamicin INJ 40 MG","Ampul","5","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Ruang Perinatologi","Bahan Obat-Obatan","9.","13312","Phenobarbital Inj 50 mg / 1 ml","Tablet","2","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Ruang Perinatologi","Bahan Obat-Obatan","10.","13290","Velutine","Vial","2","0",
,,,,,,,,,,"Total Jenis Barang:0",
,,,,,,,,,,"Total Skpd:0",
