"SKPD","BLUD RUMAH SAKIT UMUM DAERAHANY"
"SUB SKPD","RSUD Ruang VK IGDANY"
"Jenis Barang","Bahan Obat-Obatan,Bahan Habis Pakai Alat Medik / Bahan dan Alat Kesehatan Habis PakaiANY"

"Provinsi","Kabupaten","SKPD","Nama Sub Skpd","Jenis Barang","No","Kode Barang","Nama Barang","Satuan","Total Saldo Barang","Total Harga",
"Buku Persediaan Barang Habis Pakai SUB SKPD"
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Ruang VK IGD","Bahan Obat-Obatan","1.","2525","ASAM TRANEKSAMAT INJ 500 MG/5 ML","Ampul","5","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Ruang VK IGD","Bahan Obat-Obatan","2.","3976","Atropin inj 0,25 mg/ml","Ampul","5","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Ruang VK IGD","Bahan Obat-Obatan","3.","2635","DOBUTAMIN GIULINI 50 ML","Ampul","5","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Ruang VK IGD","Bahan Obat-Obatan","4.","653","Diazepam inj 5 mg / ml","ampul","5","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Ruang VK IGD","Bahan Obat-Obatan","5.","3969","Dopamin giulini 200 mg inj","Ampul","5","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Ruang VK IGD","Bahan Obat-Obatan","6.","2655","GASTRUL","Tablet","10","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Ruang VK IGD","Bahan Obat-Obatan","7.","3941","Infusan ringer laktat","pcs","5","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Ruang VK IGD","Bahan Obat-Obatan","8.","4149","KCL Inj","Ampul","1","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Ruang VK IGD","Bahan Obat-Obatan","9.","684","Lidokain Inj 2%","Ampul","5","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Ruang VK IGD","Bahan Obat-Obatan","10.","777","Magnesium Sulfat 20%","Ampul","5","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Ruang VK IGD","Bahan Obat-Obatan","11.","489","Magnesium Sulfat 40%","Ampul","5","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Ruang VK IGD","Bahan Obat-Obatan","12.","609","Natrium Klorida infus 0,9 %","Botol","5","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Ruang VK IGD","Bahan Obat-Obatan","13.","652","Nifedipin 10 mg","Tablet","10","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Ruang VK IGD","Bahan Obat-Obatan","14.","3729","TRAMADOL INJ 100 MG/2 ML","Ampul","5","0",
,,,,,,,,,,"Total Jenis Barang:0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Ruang VK IGD","Bahan Habis Pakai Alat Medik / Bahan dan Alat Kesehatan Habis Pakai","15.","2354","Disposable Blood Transfusion Set (Remedi)","pcs","3","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Ruang VK IGD","Bahan Habis Pakai Alat Medik / Bahan dan Alat Kesehatan Habis Pakai","16.","3776","Disposible infusion set macro","pcs","3","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Ruang VK IGD","Bahan Habis Pakai Alat Medik / Bahan dan Alat Kesehatan Habis Pakai","17.","4106","Disposible syringe 1 cc","pcs","3","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Ruang VK IGD","Bahan Habis Pakai Alat Medik / Bahan dan Alat Kesehatan Habis Pakai","18.","3846","Disposible syringe 10 cc","pcs","3","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Ruang VK IGD","Bahan Habis Pakai Alat Medik / Bahan dan Alat Kesehatan Habis Pakai","19.","4075","Disposible syringe 3 cc","pcs","3","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Ruang VK IGD","Bahan Habis Pakai Alat Medik / Bahan dan Alat Kesehatan Habis Pakai","20.","11155","IV catheter merk Surflo uk.20 fr","pcs","3","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Ruang VK IGD","Bahan Habis Pakai Alat Medik / Bahan dan Alat Kesehatan Habis Pakai","21.","2328","Infus set mikro","pcs","3","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Ruang VK IGD","Bahan Habis Pakai Alat Medik / Bahan dan Alat Kesehatan Habis Pakai","22.","2398","Masker Non Rebreather Adult (Remedi)","pcs","1","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Ruang VK IGD","Bahan Habis Pakai Alat Medik / Bahan dan Alat Kesehatan Habis Pakai","23.","2438","Spuit 20 cc (Terumo)","pcs","1","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Ruang VK IGD","Bahan Habis Pakai Alat Medik / Bahan dan Alat Kesehatan Habis Pakai","24.","6320","Spuit 5 cc TP","box","3","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Ruang VK IGD","Bahan Habis Pakai Alat Medik / Bahan dan Alat Kesehatan Habis Pakai","25.","2451","Three Way Stopcock With Tube (JMS)","pcs","2","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Ruang VK IGD","Bahan Habis Pakai Alat Medik / Bahan dan Alat Kesehatan Habis Pakai","26.","904","Urine bag","pcs","2","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Ruang VK IGD","Bahan Habis Pakai Alat Medik / Bahan dan Alat Kesehatan Habis Pakai","27.","8037","fc no.16","pcs","2","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Ruang VK IGD","Bahan Habis Pakai Alat Medik / Bahan dan Alat Kesehatan Habis Pakai","28.","8101","spuit 50 cc chateter tip terumo","pcs","1","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Ruang VK IGD","Bahan Habis Pakai Alat Medik / Bahan dan Alat Kesehatan Habis Pakai","29.","8109","surflo no 18","pcs","3","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Ruang VK IGD","Bahan Habis Pakai Alat Medik / Bahan dan Alat Kesehatan Habis Pakai","30.","8112","surflo no 22","pcs","3","0",
,,,,,,,,,,"Total Jenis Barang:0",
,,,,,,,,,,"Total Skpd:0",
