SKPD,DINAS KESEHATANANY,,,,,,,,,,
Jenis Barang,"Bahan Obat-Obatan,Bahan Habis Pakai Alat Medik / Bahan dan Alat Kesehatan Habis Pakai,Bahan LaboratoriumANY",,,,,,,,,,
Nama Barang,ANY,,,,,,,,,,
,,,,,,,,,,,
Provinsi,Kabupaten,Nama SKPD,Jenis Barang,Kode Barang,No,Tanggal Beli,Nama Barang,Satuan,Jumlah,Harga,Total Harga
Daftar Persediaan Barang Habis Pakai,,,,,,,,,,,
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,517,1.,2020-03-12,ACT (Dihidroartemisin + Piperaquin)/DHP/Darplex,Tablet,198,2134,422532
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,517,2.,2020-11-19,ACT (Dihidroartemisin + Piperaquin)/DHP/Darplex,Tablet,540,2134,1152360
,,,,,,,,,Total:738,,Total:1.574.892
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,539,3.,2020-01-03,Albendazol Suspensi 200 mg/5 ml,Botol,17,4600,78200
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,539,4.,2020-01-03,Albendazol Suspensi 200 mg/5 ml,Botol,60,4600,276000
,,,,,,,,,Total:77,,Total:354.200
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,562,5.,2020-01-03,Albendazol tablet 400 mg,Tablet,51851,271,14051621
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,562,6.,2020-01-03,Albendazol tablet 400 mg,Tablet,1,20235,20235
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,562,7.,2020-01-03,Albendazol tablet 400 mg,Tablet,142399,1041,148237359
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,562,8.,2020-01-03,Albendazol tablet 400 mg,Tablet,1,139881,139881
,,,,,,,,,Total:194.252,,Total:162.449.096
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,575,9.,2020-01-03,Allopurinol tab 100 mg,Tablet,10991,105,1154055
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,575,10.,2020-01-03,Allopurinol tab 100 mg,Tablet,4900,105,514500
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,575,11.,2020-03-30,Allopurinol tab 100 mg,Tablet,500,0,0
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,575,12.,2020-07-21,Allopurinol tab 100 mg,Tablet,25000,105,2625000
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,575,13.,2020-08-12,Allopurinol tab 100 mg,Tablet,35000,105,3675000
,,,,,,,,,Total:76.391,,Total:7.968.555
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,590,14.,2020-01-03,Allopurinol tab 300 mg,Tablet,1480,618,914640
,,,,,,,,,Total:1.480,,Total:914.640
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,13104,15.,2020-01-03,Alprazolam 1 mg,Tablet,875,128,112000
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,13104,16.,2020-07-29,Alprazolam 1 mg,Tablet,3500,128,448000
,,,,,,,,,Total:4.375,,Total:560.000
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,628,17.,2020-01-03,Ambroxol Syrup 15 mg/5 ml,Botol,1530,3690,5645700
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,628,18.,2020-07-21,Ambroxol Syrup 15 mg/5 ml,Botol,700,7000,4900000
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,628,19.,2020-12-10,Ambroxol Syrup 15 mg/5 ml,Botol,750,4960,3720000
,,,,,,,,,Total:2.980,,Total:14.265.700
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,638,20.,2020-01-03,Ambroxol tab 30 mg,Tablet,5135,118,605930
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,638,21.,2020-01-03,Ambroxol tab 30 mg,Tablet,1,22618,22618
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,638,22.,2020-12-10,Ambroxol tab 30 mg,Tablet,1,17197,17197
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,638,23.,2020-12-10,Ambroxol tab 30 mg,Tablet,49999,197,9849803
,,,,,,,,,Total:55.136,,Total:10.495.548
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,650,24.,2020-01-03,Aminofillin inj 24 mg/ml,ampul,57,3071,175047
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,650,25.,2020-08-05,Aminofillin inj 24 mg/ml,ampul,60,3071,184260
,,,,,,,,,Total:117,,Total:359.307
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,664,26.,2020-01-03,Aminofillin tab 200 mg,Tablet,1300,101,131300
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,664,27.,2020-03-30,Aminofillin tab 200 mg,Tablet,100,0,0
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,664,28.,2020-08-05,Aminofillin tab 200 mg,Tablet,600,101,60600
,,,,,,,,,Total:2.000,,Total:191.900
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,681,29.,2020-01-03,Amitriptilin tablet 25 mg,Tablet,9800,195,1911000
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,681,30.,2020-01-03,Amitriptilin tablet 25 mg,Tablet,7500,168,1260000
,,,,,,,,,Total:17.300,,Total:3.171.000
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,475,31.,2020-01-03,Amlodipin 10 mg,Tablet,21424,94,2013856
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,475,32.,2020-01-03,Amlodipin 10 mg,Tablet,300,95,28500
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,475,33.,2020-08-25,Amlodipin 10 mg,Tablet,75000,94,7050000
,,,,,,,,,Total:96.724,,Total:9.092.356
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,699,34.,2020-07-21,Amlodipin 5 mg,Tablet,2561,81,207441
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,699,35.,2020-07-26,Amlodipin 5 mg,Tablet,390,0,0
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,699,36.,2020-07-29,Amlodipin 5 mg,Tablet,66000,81,5346000
,,,,,,,,,Total:68.951,,Total:5.553.441
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,711,37.,2020-01-03,Amoksisilin Kapsul 250 mg,Kapsul,6787,209,1418483
,,,,,,,,,Total:6.787,,Total:1.418.483
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,2505,38.,2020-01-03,Amoksisilin kaplet 500 mg,kaplet,9478,265,2511670
