Skpd,Id Sub Skpd,Sub Skpd
DINAS PENDIDIKAN,88,UPT. Kecamatan Tebing Tinggi
DINAS PENDIDIKAN,89,UPT. Kecamatan Paringin Selatan
DINAS PENDIDIKAN,83,UPT. Kecamatan Paringin
DINAS PENDIDIKAN,82,UPT. Kecamatan Lampihong
DINAS PENDIDIKAN,86,UPT. Kecamatan Juai
DINAS PENDIDIKAN,87,UPT. Kecamatan Halong
DINAS PENDIDIKAN,84,UPT. Kecamatan Batumandi
DINAS PENDIDIKAN,85,UPT. Kecamatan Awayan
DINAS PENDIDIKAN,249,MIN Tariwin
DINAS PENDIDIKAN,536,PAUD Terpadu Awayan
DINAS PENDIDIKAN,609,Rumah Pintar
DINAS PENDIDIKAN,355,SDN Ajung
DINAS PENDIDIKAN,193,SDN Ambakiang Hulu
DINAS PENDIDIKAN,311,SDN Aniyungan
DINAS PENDIDIKAN,356,SDN Auh
DINAS PENDIDIKAN,194,SDN Badalungga
DINAS PENDIDIKAN,195,SDN Badalungga Hilir
DINAS PENDIDIKAN,227,SDN Bakung
DINAS PENDIDIKAN,160,SDN Balida
DINAS PENDIDIKAN,228,SDN Banua Hanyar
DINAS PENDIDIKAN,196,SDN Baramban
DINAS PENDIDIKAN,197,SDN Baru
DINAS PENDIDIKAN,371,SDN Baruh Bahinu Dalam
DINAS PENDIDIKAN,372,SDN Baruh Bahinu Luar
DINAS PENDIDIKAN,312,SDN Baruh Penyambaran 1
DINAS PENDIDIKAN,313,SDN Baruh Penyambaran 2
DINAS PENDIDIKAN,267,SDN Bata
DINAS PENDIDIKAN,119,SDN Batu Merah 1
DINAS PENDIDIKAN,120,SDN Batu Merah 3
DINAS PENDIDIKAN,373,SDN Batu Piring
DINAS PENDIDIKAN,198,SDN Bayur
DINAS PENDIDIKAN,199,SDN Belanti
DINAS PENDIDIKAN,314,SDN Binjai Punggal 1
DINAS PENDIDIKAN,315,SDN Binjai Punggal 2
DINAS PENDIDIKAN,316,SDN Binju
DINAS PENDIDIKAN,317,SDN Binuang Santang
DINAS PENDIDIKAN,229,SDN Bungur
DINAS PENDIDIKAN,268,SDN Buntu Karau 1
DINAS PENDIDIKAN,161,SDN Dahai
DINAS PENDIDIKAN,162,SDN Danau Banta
DINAS PENDIDIKAN,357,SDN Dayak Pitap
DINAS PENDIDIKAN,269,SDN Galumbang Juai
DINAS PENDIDIKAN,374,SDN Galumbang Paringin Selatan
DINAS PENDIDIKAN,375,SDN Gampa
DINAS PENDIDIKAN,230,SDN Guha 1
DINAS PENDIDIKAN,231,SDN Guha 2
DINAS PENDIDIKAN,270,SDN Gulinggang
DINAS PENDIDIKAN,232,SDN Gunung Manau
DINAS PENDIDIKAN,163,SDN Gunung Pandau
DINAS PENDIDIKAN,318,SDN Gunung Riut 1
DINAS PENDIDIKAN,319,SDN Gunung Riut 2
DINAS PENDIDIKAN,320,SDN Halong 1
DINAS PENDIDIKAN,321,SDN Halong 2
DINAS PENDIDIKAN,322,SDN Halong 3
DINAS PENDIDIKAN,376,SDN Halubau
DINAS PENDIDIKAN,377,SDN Halubau Utara
DINAS PENDIDIKAN,271,SDN Hamarung 1
DINAS PENDIDIKAN,272,SDN Hamarung 2
DINAS PENDIDIKAN,233,SDN Hamparaya
DINAS PENDIDIKAN,323,SDN Hauwai 1
DINAS PENDIDIKAN,324,SDN Hauwai 2
DINAS PENDIDIKAN,121,SDN Hilir Pasar
DINAS PENDIDIKAN,164,SDN Hujan Amas 1
DINAS PENDIDIKAN,165,SDN Hujan Amas 2
DINAS PENDIDIKAN,273,SDN Hukai
DINAS PENDIDIKAN,378,SDN Inan
DINAS PENDIDIKAN,122,SDN Jimamun
DINAS PENDIDIKAN,358,SDN Ju'uh
DINAS PENDIDIKAN,274,SDN Juai
DINAS PENDIDIKAN,123,SDN Jungkal
DINAS PENDIDIKAN,379,SDN Kaladan
DINAS PENDIDIKAN,166,SDN Kalahiang
DINAS PENDIDIKAN,359,SDN Kambiyain
DINAS PENDIDIKAN,124,SDN Kandang Jaya
DINAS PENDIDIKAN,325,SDN Kapul
DINAS PENDIDIKAN,234,SDN Karuh
DINAS PENDIDIKAN,235,SDN Kasai
DINAS PENDIDIKAN,125,SDN Kupang
DINAS PENDIDIKAN,126,SDN Kusambi Hilir
DINAS PENDIDIKAN,127,SDN Kusambi Hulu 1
DINAS PENDIDIKAN,128,SDN Kusambi Hulu 2
DINAS PENDIDIKAN,129,SDN Lajar
DINAS PENDIDIKAN,275,SDN Lalayau 1
DINAS PENDIDIKAN,276,SDN lalayau 2
DINAS PENDIDIKAN,167,SDN Lamida Atas
DINAS PENDIDIKAN,130,SDN Lampihong Kanan
DINAS PENDIDIKAN,131,SDN Lampihong Kiri
DINAS PENDIDIKAN,360,SDN Langkap
DINAS PENDIDIKAN,168,SDN Lasung Batu 1
DINAS PENDIDIKAN,169,SDN Lasung Batu 2
DINAS PENDIDIKAN,380,SDN Lingsir
DINAS PENDIDIKAN,236,SDN Lok Batu
DINAS PENDIDIKAN,170,SDN Lok Batung
DINAS PENDIDIKAN,143,SDN Lok Hamawang
DINAS PENDIDIKAN,142,SDN Lok Panginangan
DINAS PENDIDIKAN,171,SDN Malihu
DINAS PENDIDIKAN,326,SDN Mamantang
DINAS PENDIDIKAN,237,SDN Mampari
DINAS PENDIDIKAN,172,SDN Mangkayahu
DINAS PENDIDIKAN,200,SDN Maningau
DINAS PENDIDIKAN,238,SDN Mantimin 1
DINAS PENDIDIKAN,239,SDN Mantimin 2
DINAS PENDIDIKAN,327,SDN Mantuyan
DINAS PENDIDIKAN,381,SDN Maradap
DINAS PENDIDIKAN,277,SDN Marias
DINAS PENDIDIKAN,132,SDN Matang Hanau
DINAS PENDIDIKAN,328,SDN Mauya
DINAS PENDIDIKAN,361,SDN Mayanau
DINAS PENDIDIKAN,201,SDN Merah
DINAS PENDIDIKAN,278,SDN Mihu 1
DINAS PENDIDIKAN,279,SDN Mihu 2
DINAS PENDIDIKAN,202,SDN Muara Jaya
DINAS PENDIDIKAN,280,SDN Muara Ninian
DINAS PENDIDIKAN,382,SDN Muara Pitap
DINAS PENDIDIKAN,133,SDN Mundar
DINAS PENDIDIKAN,281,SDN Mungkur Uyam
DINAS PENDIDIKAN,240,SDN Munjung
DINAS PENDIDIKAN,383,SDN Murung Abuin
DINAS PENDIDIKAN,173,SDN Murung Ilung
DINAS PENDIDIKAN,203,SDN Nungka
DINAS PENDIDIKAN,282,SDN Pamurus
DINAS PENDIDIKAN,134,SDN Panaitan
DINAS PENDIDIKAN,362,SDN Panikin
DINAS PENDIDIKAN,174,SDN Paringin 1
DINAS PENDIDIKAN,175,SDN Paringin 2
DINAS PENDIDIKAN,384,SDN Paringin Selatan 1
DINAS PENDIDIKAN,176,SDN Paringin Timur
DINAS PENDIDIKAN,241,SDN Pelajau
DINAS PENDIDIKAN,204,SDN Pematang
DINAS PENDIDIKAN,135,SDN Pimping
DINAS PENDIDIKAN,205,SDN Piyait
DINAS PENDIDIKAN,206,SDN Pulantan
DINAS PENDIDIKAN,207,SDN Pulau Kambang
DINAS PENDIDIKAN,208,SDN Putat Basiun
DINAS PENDIDIKAN,329,SDN Puyun
DINAS PENDIDIKAN,242,SDN Riwa
DINAS PENDIDIKAN,243,SDN Sei Kusi
DINAS PENDIDIKAN,136,SDN Simpang Tiga
DINAS PENDIDIKAN,283,SDN Sirap 1
DINAS PENDIDIKAN,284,SDN Sirap 2
DINAS PENDIDIKAN,285,SDN Sirap 3
DINAS PENDIDIKAN,244,SDN Sumpung
DINAS PENDIDIKAN,286,SDN Sungai Batung
DINAS PENDIDIKAN,245,SDN Sungai Hanyar
DINAS PENDIDIKAN,177,SDN Sungai Ketapi
DINAS PENDIDIKAN,209,SDN Sungai Pumpung
DINAS PENDIDIKAN,137,SDN Sungai Tabuk
DINAS PENDIDIKAN,363,SDN Sungsum
DINAS PENDIDIKAN,330,SDN Tabuan 1
DINAS PENDIDIKAN,331,SDN Tabuan 2
DINAS PENDIDIKAN,138,SDN Tampang
DINAS PENDIDIKAN,139,SDN Tanah Habang Kanan 1
DINAS PENDIDIKAN,140,SDN Tanah Habang Kanan 2
DINAS PENDIDIKAN,141,SDN Tanah Habang Kiri
DINAS PENDIDIKAN,385,SDN Tarangan
DINAS PENDIDIKAN,287,SDN Tawahan 1
DINAS PENDIDIKAN,296,SDN Tawahan 2
DINAS PENDIDIKAN,364,SDN Tebing Tinggi
DINAS PENDIDIKAN,386,SDN Telaga Purun
DINAS PENDIDIKAN,288,SDN Teluk Bayur 2
DINAS PENDIDIKAN,289,SDN Teluk Bayur 3
DINAS PENDIDIKAN,246,SDN Teluk Mesjid 1
DINAS PENDIDIKAN,247,SDN Teluk Mesjid 2
DINAS PENDIDIKAN,290,SDN Tigarun
DINAS PENDIDIKAN,248,SDN Timbun Tulang
DINAS PENDIDIKAN,210,SDN Tundakan
