sdn ajung,355,001_SDN Ajung
sdn ambakiang hulu,193,002_SDN Ambakiang Hulu
sdn aniyungan,311,003_SDN Aniyungan
sdn auh,356,004_SDN Auh
sdn badalungga,194,005_SDN Badalungga
sdn badalungga hilir,195,006_SDN Badalungga Hilir
sdn bakung,227,007_SDN Bakung
sdn balida,160,008_SDN Balida
sdn banua hanyar,228,009_SDN Banua Hanyar
sdn baramban,196,010_SDN Baramban
sdn baru,197,011_SDN Baru
sdn baruh bahinu dalam,371,012_SDN Baruh Bahinu Dalam
sdn baruh bahinu luar,372,013_SDN Baruh Bahinu Luar
sdn baruh penyambaran 1,312,014_SDN Baruh Penyambaran 1
sdn baruh penyambaran 2,313,015_SDN Baruh Penyambaran 2
sdn bata,267,016_SDN Bata
sdn batu merah 1,119,017_SDN Batu Merah 1
sdn batu merah 3,120,018_SDN Batu Merah 3
sdn batu piring,373,019_SDN Batu Piring
sdn bayur,198,020_SDN Bayur
sdn belanti,199,021_SDN Belanti
sdn binjai punggal 1,314,022_SDN Binjai Punggal 1
sdn binjai punggal 2,315,023_SDN Binjai Punggal 2
sdn binju,316,024_SDN Binju
sdn binuang santang,317,025_SDN Binuang Santang
sdn bungur,229,026_SDN Bungur
sdn buntu karau 1,268,027_SDN Buntu Karau 1
sdn dahai,161,028_SDN Dahai
sdn danau banta,162,029_SDN Danau Banta
sdn dayak pitap,357,030_SDN Dayak Pitap
sdn galumbang juai,269,031_SDN Galumbang Juai
sdn galumbang paringin selatan,374,032_SDN Galumbang Paringin Selatan
sdn gampa,375,033_SDN Gampa
sdn guha 1,230,034_SDN Guha 1
sdn guha 2,231,035_SDN Guha 2
sdn gulinggang,270,036_SDN Gulinggang
sdn gunung manau,232,037_SDN Gunung Manau
sdn gunung pandau,163,038_SDN Gunung Pandau
sdn gunung riut 1,318,039_SDN Gunung Riut 1
sdn gunung riut 2,319,040_SDN Gunung Riut 2
sdn halong 1,320,041_SDN Halong 1
sdn halong 2,321,042_SDN Halong 2
sdn halong 3,322,043_SDN Halong 3
sdn halubau,376,044_SDN Halubau
sdn halubau utara,377,045_SDN Halubau Utara
sdn hamarung 1,271,046_SDN Hamarung 1
sdn hamarung 2,272,047_SDN Hamarung 2
sdn hamparaya,233,048_SDN Hamparaya
sdn hauwai 1,323,049_SDN Hauwai 1
sdn hauwai 2,324,050_SDN Hauwai 2
sdn hilir pasar,121,051_SDN Hilir Pasar
sdn hujan amas 1,164,052_SDN Hujan Amas 1
sdn hujan amas 2,165,053_SDN Hujan Amas 2
sdn hukai,273,054_SDN Hukai
sdn inan,378,055_SDN Inan
sdn jimamun,122,056_SDN Jimamun
sdn ju'uh,358,057_SDN Ju'uh
sdn juai,274,058_SDN Juai
sdn jungkal,123,059_SDN Jungkal
sdn kaladan,379,060_SDN Kaladan
sdn kalahiang,166,061_SDN Kalahiang
sdn kambiyain,359,062_SDN Kambiyain
sdn kandang jaya,124,063_SDN Kandang Jaya
sdn kapul,325,064_SDN Kapul
sdn karuh,234,065_SDN Karuh
sdn kasai,235,066_SDN Kasai
sdn kupang,125,067_SDN Kupang
sdn kusambi hilir,126,068_SDN Kusambi Hilir
sdn kusambi hulu 1,127,069_SDN Kusambi Hulu 1
sdn kusambi hulu 2,128,070_SDN Kusambi Hulu 2
sdn lajar,129,071_SDN Lajar
sdn lalayau 1,275,072_SDN Lalayau 1
sdn lalayau 2,276,073_SDN lalayau 2
sdn lamida atas,167,074_SDN Lamida Atas
sdn lampihong kanan,130,075_SDN Lampihong Kanan
sdn lampihong kiri,131,076_SDN Lampihong Kiri
sdn langkap,360,077_SDN Langkap
sdn lasung batu 1,168,078_SDN Lasung Batu 1
sdn lasung batu 2,169,079_SDN Lasung Batu 2
sdn lingsir,380,080_SDN Lingsir
sdn lok batu,236,081_SDN Lok Batu
sdn lok batung,170,082_SDN Lok Batung
sdn lok hamawang,143,083_SDN Lok Hamawang
sdn lok panginangan,142,084_SDN Lok Panginangan
sdn malihu,171,085_SDN Malihu
sdn mamantang,326,086_SDN Mamantang
sdn mampari,237,087_SDN Mampari
sdn mangkayahu,172,088_SDN Mangkayahu
sdn maningau,200,089_SDN Maningau
sdn mantimin 1,238,090_SDN Mantimin 1
sdn mantimin 2,239,091_SDN Mantimin 2
sdn mantuyan,327,092_SDN Mantuyan
sdn maradap,381,093_SDN Maradap
sdn marias,277,094_SDN Marias
sdn matang hanau,132,095_SDN Matang Hanau
sdn mauya,328,096_SDN Mauya
sdn mayanau,361,097_SDN Mayanau
sdn merah,201,098_SDN Merah
sdn mihu 1,278,099_SDN Mihu 1
sdn mihu 2,279,100_SDN Mihu 2
sdn muara jaya,202,101_SDN Muara Jaya
sdn muara ninian,280,102_SDN Muara Ninian
sdn muara pitap,382,103_SDN Muara Pitap
sdn mundar,133,104_SDN Mundar
sdn mungkur uyam,281,105_SDN Mungkur Uyam
sdn munjung,240,106_SDN Munjung
sdn murung abuin,383,107_SDN Murung Abuin
sdn murung ilung,173,108_SDN Murung Ilung
sdn nungka,203,109_SDN Nungka
sdn pamurus,282,110_SDN Pamurus
sdn panaitan,134,111_SDN Panaitan
sdn panikin,362,112_SDN Panikin
sdn paringin 1,174,113_SDN Paringin 1
sdn paringin 2,175,114_SDN Paringin 2
sdn paringin selatan 1,384,115_SDN Paringin Selatan 1
sdn paringin timur,176,116_SDN Paringin Timur
sdn pelajau,241,117_SDN Pelajau
sdn pematang,204,118_SDN Pematang
sdn pimping,135,119_SDN Pimping
sdn piyait,205,120_SDN Piyait
sdn pulantan,206,121_SDN Pulantan
sdn pulau kambang,207,122_SDN Pulau Kambang
sdn putat basiun,208,123_SDN Putat Basiun
sdn puyun,329,124_SDN Puyun
sdn riwa,242,125_SDN Riwa
sdn sei kusi,243,126_SDN Sei Kusi
sdn simpang tiga,136,127_SDN Simpang Tiga
sdn sirap 1,283,128_SDN Sirap 1
sdn sirap 2,284,129_SDN Sirap 2
sdn sirap 3,285,130_SDN Sirap 3
sdn sumpung,244,131_SDN Sumpung
sdn sungai batung,286,132_SDN Sungai Batung
sdn sungai hanyar,245,133_SDN Sungai Hanyar
sdn sungai ketapi,177,134_SDN Sungai Ketapi
sdn sungai pumpung,209,135_SDN Sungai Pumpung
sdn sungai tabuk,137,136_SDN Sungai Tabuk
sdn sungsum,363,137_SDN Sungsum
sdn tabuan 1,330,138_SDN Tabuan 1
sdn tabuan 2,331,139_SDN Tabuan 2
sdn tampang,138,140_SDN Tampang
sdn tanah habang kanan 1,139,141_SDN Tanah Habang Kanan 1
sdn tanah habang kanan 2,140,142_SDN Tanah Habang Kanan 2
sdn tanah habang kiri,141,143_SDN Tanah Habang Kiri
sdn tarangan,385,144_SDN Tarangan
sdn tawahan 1,287,145_SDN Tawahan 1
sdn tawahan 2,296,146_SDN Tawahan 2
sdn tebing tinggi,364,147_SDN Tebing Tinggi
sdn telaga purun,386,148_SDN Telaga Purun
sdn teluk bayur 2,288,149_SDN Teluk Bayur 2
sdn teluk bayur 3,289,150_SDN Teluk Bayur 3
sdn teluk mesjid 1,246,151_SDN Teluk Mesjid 1
sdn teluk mesjid 2,247,152_SDN Teluk Mesjid 2
sdn tigarun,290,153_SDN Tigarun
sdn timbun tulang,248,154_SDN Timbun Tulang
sdn tundakan,210,155_SDN Tundakan
sdn tundi,211,156_SDN Tundi
sdn u ungan,212,157_SDN U ungan
sdn uren 1,332,158_SDN Uren 1
sdn wangkili,213,159_SDN Wangkili
skb balangan,179,160_SKB Balangan
sman 1 awayan,90,161_SMAN 1 Awayan
sman 1 halong,91,162_SMAN 1 Halong
sman 1 juai,92,163_SMAN 1 Juai
sman 1 lampihong,530,164_SMAN 1 Lampihong
sman 1 paringin,93,165_SMAN 1 Paringin
sman 1 tebing tinggi,396,166_SMAN 1 Tebing Tinggi
sman 2 halong,528,167_SMAN 2 Halong
sman 2 juai,529,168_SMAN 2 Juai
sman 2 paringin,94,169_SMAN 2 Paringin
smk ppn paringin,97,170_SMK PPN Paringin
smkn 1 batumandi,95,171_SMKN 1 Batumandi
smkn 1 paringin,96,172_SMKN 1 Paringin
smpn 1 awayan,98,173_SMPN 1 Awayan
smpn 1 batumandi,99,174_SMPN 1 Batumandi
smpn 1 halong,100,175_SMPN 1 Halong
